author,datetime,content,permalink
@MuhammadTuhasan,"Sep 30, 2025 · 2:05 AM UTC","Maraknya kasus keracunan setelah menyantap MBG membuat orang tua khawatir, walau kata presiden Prabowo kasus keracunannya cuman 0,00017 persen,(kalkulasinya kek mana,aku gak tahu) Pesan orang tua siswi ini cukup berasalan menurutku. Bagaimana menurut Kalian ?",https://nitter.net/MuhammadTuhasan/status/1972845196623962522#m
@detikcom,"Sep 29, 2025 · 2:17 AM UTC",Presiden Prabowo Subianto meminta dapur MBG diawasi CCTV buntut kasus keracunan di sejumlah daerah. Prabowo juga meminta ada koki ahli di setiap SPPG. news.detik.com/berita/d-8134…,https://nitter.net/detikcom/status/1972485732183724461#m
@zhil_arf,"Sep 28, 2025 · 1:00 PM UTC","Indonesia adalah Negara Preman. Kontrak tidak dimenangkan pakai marketing dan inovasi, tapi pakai teror dan kekerasan. Tidak heran MBG busuk berbelatung. Wong yang bikin bukan ahlinya. Instead, supplier MBG, pabrik, UMKM, bulog, beton semuanya preman yang hanya ahli merampok.",https://nitter.net/zhil_arf/status/1972285166644240741#m
@grok,"Sep 30, 2025 · 2:24 AM UTC","Berdasarkan perhitungan, jika 8.649 siswa keracunan mewakili 0,00017% dari total, maka total MBG yang dibagikan adalah sekitar 5.087.647.059 porsi.",https://nitter.net/grok/status/1972849910820344133#m
@OposisiCerdas,"Sep 29, 2025 · 10:24 PM UTC","Sosok Misterius Muncul di Boyolali Diduga Ingin Sabotase MBG, 189 Makanan Batal Dibagikan ke Siswa oposisicerdas.com/2025/09/so…",https://nitter.net/OposisiCerdas/status/1972789491153895450#m
@jawapos,"Sep 30, 2025 · 2:24 AM UTC","Guru Penanggung Jawab Program MBG di Sekolah Kini Dapat Insentif, Per Hari Terima Rp 100.000 jawapos.com/nasional/0166390…",https://nitter.net/jawapos/status/1972849883196592278#m
@UmarHasibuan__,"Sep 29, 2025 · 9:40 AM UTC",Buat penjilat prabowo yg urus MBG. Yg bilang keracunan MBG krn asinhlah krn sabotaselah. Ada yg berani bantah Sultan?,https://nitter.net/UmarHasibuan__/status/1972597216671064548#m
@WidasSatyo,"Sep 29, 2025 · 5:15 AM UTC","Gegara pidato sok heroik Prabs, akhirnya diklaim beneran Indonesia pro jionist. The most disgraceful things Prabs had ever done to us after MBG.",https://nitter.net/WidasSatyo/status/1972530704182653441#m
@ReinhadPar,"Sep 30, 2025 · 2:23 AM UTC","Dana 300T untuk 80 jt , kalo dirubah untuk 20 jt anak, bisa dapat MBG dgn anggaran 25 rb pasti anak didik dapat makan yg sehat bergizi n enak, mitra MBG kerja tenang bersih untung, ada dana lebih 150T bisa dipakai untuk meningkatkan kualitas pendidikan, mengapa tetap ngotot!$$?",https://nitter.net/ReinhadPar/status/1972849792779960630#m
@Ikademan_Yong,"Sep 30, 2025 · 2:23 AM UTC","Anak saya sdh saya larang makan MBG. Bukan sombong, tapi takut keracunan. Itu yg pertama. Kedua, saya mampu ngasih makan anak bergizi, jd tak perlu dibantu MBG. Terakhir, saya usulkan program MBG itu didata ulang penerimanya. Jgn asal gelontorkan dana Ratusan Triliun.",https://nitter.net/Ikademan_Yong/status/1972849789906948354#m
@NenkMonica,"Sep 29, 2025 · 11:17 AM UTC","Senin, 29/09/2025 di depan pintu Gerbang DPRD Jawa Barat pagi tadi adanya kegiatan Pembacaan Sikap terkait Maraknya Keracunan MBG di Jabar. Diisampaikan oleh Forum Orang Tua Siswa Jabar, Forum Aksi Guru, Indonesia Jabar dan Persatuan Purnabhakti Pendidik Indonesia (P31) Jabar.",https://nitter.net/NenkMonica/status/1972621733342687546#m
@IndoPopBase,"Sep 29, 2025 · 6:06 AM UTC","MBG poisoning cases across Indonesia from January to September, according to @CISDI_ID: West Java — 2.945 DI Yogyakarta — 905 Central Java — 468 Bengkulu — 456 Lampung — 307 East Nusa Tenggara — 305 Central Sulawesi — 277 South Sumatra — 271 East Java — 252 West Nusa Tenggara — 150 North Kalimantan — 59 Southeast Sulawesi — 46 Maluku — 33 Riau — 32 West Kalimantan — 31 Banten — 28 West Sulawesi — 20 North Sulawesi — 13 Papua — 13",https://nitter.net/IndoPopBase/status/1972543528451600508#m
@OposisiCerdas,"Sep 29, 2025 · 11:02 PM UTC","Prabowo Sebut Kasus Keracunan MBG 0,0017 Persen, Dokter Tan: Nyawa Manusia Jangan Dianggap Statistik oposisicerdas.com/2025/09/pr…",https://nitter.net/OposisiCerdas/status/1972799226133520532#m
@Srik4ndiMuslim2,"Sep 30, 2025 · 1:51 AM UTC",Jokowi adalah sumber segala permasalahan bangsa. KPU adil kalau Jokowi ditangkap. MBG tidak ada masalah kalau Jokowi ditangkap. APBN sehat kalau Jokowi ditangkap cc Pak @prabowo #DibayangiPeristiwaG30SPKI #DibayangiPeristiwaG30SPKI,https://nitter.net/Srik4ndiMuslim2/status/1972841750323720448#m
@amaarrgii,"Sep 30, 2025 · 2:24 AM UTC",Anak lu udh ada yg mati keracunan MBG? Kalo belum coba minta dibanyakin porsinya khusus anak lu,https://nitter.net/amaarrgii/status/1972849935302447565#m
@NasiAking234,"Sep 30, 2025 · 2:24 AM UTC",Polos amat jelas2 MBG yg dipaksakan gini biar kroni2 pemiliik dapur MBG dapet jatah. Sekolah mampu ngapain dipaksain MBG,https://nitter.net/NasiAking234/status/1972849914599420233#m
@nadsini_,"Sep 30, 2025 · 2:24 AM UTC","Orang yang ngotot mempertahankan MBG dan memungkinkan semakin banyak anak jadi korban, itu lebih dari sekedar penjahat 🤕",https://nitter.net/nadsini_/status/1972849969880236032#m
@RhendyW,"Sep 30, 2025 · 2:24 AM UTC","Orang yang ngutilin dana MBG itu nenek moyangnya penjahat, coy.",https://nitter.net/RhendyW/status/1972850086637076527#m
@KompasTV,"Sep 29, 2025 · 1:15 PM UTC","Program Makan Bergizi Gratis, tuai insiden tragis. Ribuan siswa-siswi dalam waktu yang berdekatan alami keracunan. Kualitas bahan baku, kebersihan dapur, proses memasak hingga pengemasan dan distribusi, kini dievaluasi. Publik mendesak investigasi menyeluruh program MBG. Selengkapnya, saksikan #DipoInvestigasi episode “INSIDEN TRAGIS MAKAN BERGIZI GRATIS”, sesaat lagi hanya di @KompasTV! 📺: kompas.tv/live",https://nitter.net/KompasTV/status/1972651323720892721#m
@SETYAKI22965702,"Sep 29, 2025 · 2:21 AM UTC","HERLAMBANG ( dosen Hukum UGM ) Sempat Menyinggung , Program MBG Pada Pemerintahan Prabowo Tak Hanya Menghasilkan MALAPETAKA Baru Bagi Anak² di INDONESIA. Jauh Sebelum Itu, Program Ini Memang Sudah Melanggar HAM Jika Dilihat dr Kacamata Kepentingan Umum dlm KONSTITUSI.",https://nitter.net/SETYAKI22965702/status/1972486877942096082#m
@kidoelkoe,"Sep 30, 2025 · 2:25 AM UTC","Kalo terpaksa kali mbg ini @prabowo . Berikan saja uangnya persekolah. Nanti jam istirahat siang makan bersama dengan bekal yg di bawa siswa/i dari terserah mereka. Mau dari rumahnya ,maupun di belinya. Dari situ guru menilai mereka makan apa tidak. Bukan men",https://nitter.net/kidoelkoe/status/1972850218388652493#m
@detikcom,"Sep 29, 2025 · 10:31 AM UTC","Ketua Banggar DPR, Said Abdullah, menilai beban Satuan Pelayanan Pemenuhan Gizi (SPPG) terlalu berat karena harus menyiapkan 3.000 porsi makanan setiap hari. Ia usulkan agar dapur MBG dibuka di sekolah-sekolah. news.detik.com/berita/d-8135…",https://nitter.net/detikcom/status/1972610051496907221#m
@Bellajarsabarr,"Sep 30, 2025 · 2:25 AM UTC","Asliii, keracunan MBG pun salah anies jir kata mereka. Apapun masalah salahnya aniea",https://nitter.net/Bellajarsabarr/status/1972850206313201752#m
@P3gEl,"Sep 29, 2025 · 12:33 PM UTC","Di lokasi lain, Ciamis, di hari yg sama, senin 29 September, apakah yg menjadi sebab keenganan pemerintah untuk hentikan dan evaluasi menyeluruh pelaksanaan MBG?🙄",https://nitter.net/P3gEl/status/1972640977895784941#m
@sourvive,"Sep 19, 2025 · 6:08 AM UTC","""Tapi MBG bagus buat org miskin yang gabisa makan"" Tugas negara ngatasin kemiskinan itu bukan dgn ngasih makan gratis (apalagi beracun), tapi: - mastiin ketersediaan bahan pokok - mastiin rakyat bisa afford Kalo ngasih makanan mateng mending buka katering jgn ngurus negara",https://nitter.net/sourvive/status/1968920144895234414#m
@giIangmahesa,"Sep 30, 2025 · 2:15 AM UTC","Salah satu bukti lagi bahwa MBG itu proyek, bukan program",https://nitter.net/giIangmahesa/status/1972847729484464597#m
@b_fieldshin,"Sep 30, 2025 · 2:25 AM UTC",Program makan bergizi gratis terus diperkuat agar setiap hidangan yang disajikan berkualitas dan mendukung kesehatan generasi muda. #KomitmenPemerintahJagaMBG #MBG #IndoensiaEmas2045,https://nitter.net/b_fieldshin/status/1972850239343353951#m
